key,PROVINCIA,DEPARTAMENTO,VP,FN,FP,VN
cordoba|generalsanmartin,Córdoba,General San Martín,5,8,0,23
cordoba|marcosjuarez,Córdoba,Marcos Juárez,7,6,0,23
chaco|ohiggins,Chaco,O'Higgins,11,0,9,16
chaco|12deoctubre,Chaco,12 de Octubre,10,0,10,16
formosa|pilagas,Formosa,Pilagás,7,2,21,6
formosa|laishi,Formosa,Laishi,4,3,15,14
formosa|pirane,Formosa,Pirané,7,3,12,14
chaco|generalguemes,Chaco,General Güemes,5,0,22,9
formosa|patino,Formosa,Patiño,8,6,11,11
chaco|tapenaga,Chaco,Tapenagá,8,0,19,9
chaco|quitilipi,Chaco,Quitilipi,6,0,21,9
chaco|presidenciadelaplaza,Chaco,Presidencia de la Plaza,6,0,21,9
chaco|sargentocabral,Chaco,Sargento Cabral,8,0,19,9
chaco|independencia,Chaco,Independencia,10,0,17,9
chaco|mayorluisjfontana,Chaco,Mayor Luis J. Fontana,6,0,14,16
chaco|frayjustosantamariadeoro,Chaco,Fray Justo Santa María de Oro,7,1,13,15
chaco|maipu,Chaco,Maipú,6,0,21,9
chaco|almirantebrown,Chaco,Almirante Brown,8,0,19,9
chaco|chacabuco,Chaco,Chacabuco,11,0,9,16
formosa|formosa,Formosa,Formosa,4,3,15,14
formosa|pilcomayo,Formosa,Pilcomayo,4,2,24,6
chaco|libertadorgeneralsanmartin,Chaco,Libertador General San Martín,8,0,19,9
chaco|bermejo,Chaco,Bermejo,7,0,20,9
chaco|1demayo,Chaco,1° de Mayo,8,0,19,9
chaco|9dejulio,Chaco,9 de Julio,11,0,9,16
chaco|sanfernando,Chaco,San Fernando,9,0,18,9
chaco|sanlorenzo,Chaco,San Lorenzo,11,0,9,16
chaco|2deabril,Chaco,2 de Abril,6,0,14,16
chaco|25demayo,Chaco,25 de Mayo,6,0,21,9
chaco|libertad,Chaco,Libertad,10,0,17,9
chaco|comandantefernandez,Chaco,Comandante Fernández,6,0,21,9
